type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,2933570,Amrith  Krishna and Madhumita  Mallick and Bivas  Mitra,,,,SleepSensei: An Automated Sleep Quality Monitor and Sleep Duration Estimator,29--34,,6,"mobile healthcare, personal informatics, sleep monitoring, smartphone",10.1145/2933566.2933570,,,,,,,2016,,Proceedings of the First Workshop on IoT-enabled Healthcare and Wellness Technologies and Systems,IoT of Health '16,,978-1-4503-4334-3,"Singapore, Singapore",ACM,"New York, NY, USA"
article,2800949,Ravi  Karkar and James  Fogarty and Julie A. Kientz and Sean A. Munson and Roger  Vilardaga and Jasmine  Zia,,,,Opportunities and Challenges for Self-experimentation in Self-tracking,991--996,,6,"personal informatics, self-experimentation, self-tracking",10.1145/2800835.2800949,,,,,,,2015,,Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers,UbiComp/ISWC'15 Adjunct,,978-1-4503-3575-1,"Osaka, Japan",ACM,"New York, NY, USA"
article,2581174,Brett  Wakefield and Carman  Neustaedter and Serena  Hillman,,,,The Informatics Needs of Amateur Endurance Athletic Coaches,2287--2292,,6,"athletes, personal informatics, physical activity, sports",10.1145/2559206.2581174,,,,,,,2014,,CHI '14 Extended Abstracts on Human Factors in Computing Systems,CHI EA '14,,978-1-4503-2474-8,"Toronto, Ontario, Canada",ACM,"New York, NY, USA"
article,2858044,Daniel A. Epstein and Felicia  Cordeiro and James  Fogarty and Gary  Hsieh and Sean A. Munson,,,,Crumbs: Lightweight Daily Food Challenges to Promote Engagement and Mindfulness,5632--5644,,13,"daily challenges, food, mindfulness, personal informatics",10.1145/2858036.2858044,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2971542,Adrian  Bussone and Simone  Stumpf and George  Buchanan,,,,It Feels Like I'm Managing Myself: HIV+ People Tracking Their Personal Health Information,55:1--55:10,55,10,"HIV, Personal health informatics, model, personal informatics, self-management",10.1145/2971485.2971542,,,,,,,2016,,Proceedings of the 9th Nordic Conference on Human-Computer Interaction,NordiCHI '16,,978-1-4503-4763-1,"Gothenburg, Sweden",ACM,"New York, NY, USA"
article,3130911,Nediyana  Daskalova and Karthik  Desingh and Alexandra  Papoutsaki and Diane  Schulze and Han  Sha and Jeff  Huang,,,,Lessons Learned from Two Cohorts of Personal Informatics Self-Experiments,46:1--46:22,46,22,"personal informatics, quantified self, self-tracking",10.1145/3130911,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,Sep-17,1,3,,September,2017,2474-9567,,,,,,ACM,"New York, NY, USA"
article,3134671,Mayara  Costa Figueiredo and Clara  Caldeira and Tera L. Reynolds and Sean  Victory and Kai  Zheng and Yunan  Chen,,,,Self-Tracking for Fertility Care: Collaborative Support for a Highly Personalized Problem,36:1--36:21,36,21,"fertility care, personal informatics, self-tracking",10.1145/3134671,Proc. ACM Hum.-Comput. Interact.,Nov-17,1,CSCW,,December,2017,2573-0142,,,,,,ACM,"New York, NY, USA"
article,2466467,Vera  Khovanskaya and Eric P.S. Baumer and Dan  Cosley and Stephen  Voida and Geri  Gay,,,,Everybody Knows What You'Re Doing: A Critical Design Approach to Personal Informatics,3403--3412,,10,"critical design, design strategies, personal informatics",10.1145/2470654.2466467,,,,,,,2013,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '13,,978-1-4503-1899-0,"Paris, France",ACM,"New York, NY, USA"
article,2702154,Felicia  Cordeiro and Elizabeth  Bales and Erin  Cherry and James  Fogarty,,,,Rethinking the Mobile Food Journal: Exploring Opportunities for Lightweight Photo-Based Capture,3207--3216,,10,"food journals, personal informatics, photos, self-tracking",10.1145/2702123.2702154,,,,,,,2015,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,CHI '15,,978-1-4503-3145-6,"Seoul, Republic of Korea",ACM,"New York, NY, USA"
article,2971402,Hanna  Schneider,,,,Self-knowledge Through Numbers and the Operationalization of Learning,189--192,,4,"activity tracking, learning, personal informatics, self-knowledge",10.1145/2968219.2971402,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct,UbiComp '16,,978-1-4503-4462-3,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,2598792,Rohit Ashok Khot,,,,Exploring Material Representations of Physical Activity,177--180,,4,"3d printing, personal informatics, physical activity",10.1145/2598784.2598792,,,,,,,2014,,Proceedings of the 2014 Companion Publication on Designing Interactive Systems,DIS Companion '14,,978-1-4503-2903-3,"Vancouver, BC, Canada",ACM,"New York, NY, USA"
article,2693802,R&#250;ben  Gouveia and Sergio  Barros and Evangelos  Karapanos,,,,Understanding Users' Disengagement with Wearable Activity Trackers,17:1--17:3,17,3,"Activity trackers, Behavior change, Personal Informatics",10.1145/2693787.2693802,,,,,,,2014,,Proceedings of the 2014 Workshops on Advances in Computer Entertainment Conference,ACE '14 Workshops,,978-1-4503-3314-6,"Funchal, Portugal",ACM,"New York, NY, USA"
article,2481345,Shaun  Lawson and Sue  Jamison-Powell and Andrew  Garbett and Conor  Linehan and Erica  Kucharczyk and Sanne  Verbaan and Duncan A. Rowland and Kevin  Morgan,,,,"Validating a Mobile Phone Application for the Everyday, Unobtrusive, Objective Measurement of Sleep",2497--2506,,10,"insomnia, mobile computing, personal informatics, sleep",10.1145/2470654.2481345,,,,,,,2013,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '13,,978-1-4503-1899-0,"Paris, France",ACM,"New York, NY, USA"
article,2968313,Hanna  Schneider,,,,LOL: Levels of Learning Through Personal Informatics,510--515,,6,"activity tracking, learning, personal informatics, self-knowledge",10.1145/2968219.2968313,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct,UbiComp '16,,978-1-4503-4462-3,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,2968326,Elisabeth Kersten - van Dijk and Wijnand  IJsselsteijn and Joyce  Westerink,,,,Deceptive Visualizations and User Bias: A Case for Personalization and Ambiguity in PI Visualizations,588--593,,6,"evaluation of visualization, personal informatics, quantified self",10.1145/2968219.2968326,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct,UbiComp '16,,978-1-4503-4462-3,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,2598786,Chris  Elsden,,,,Situated Remembering with Digital Technology,145--149,,5,"experience-centred design, lifelogging, memory, personal informatics",10.1145/2598784.2598786,,,,,,,2014,,Proceedings of the 2014 Companion Publication on Designing Interactive Systems,DIS Companion '14,,978-1-4503-2903-3,"Vancouver, BC, Canada",ACM,"New York, NY, USA"
article,3124456,Amon  Rapp and Federica  Cena and Judy  Kay and Bob  Kummerfeld and Frank  Hopfgartner and Till  Plumbaum and Jakob Eg Larsen and Daniel A. Epstein and R&#250;ben  Gouveia,,,,New Frontiers of Quantified Self 3: Exploring Understudied Categories of Users,861--864,,4,"personal informatics, quantified self, self-tracking",10.1145/3123024.3124456,,,,,,,2017,,Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,UbiComp '17,,978-1-4503-5190-4,"Maui, Hawaii",ACM,"New York, NY, USA"
article,3025686,Caleb  Southern and Yunnuo  Cheng and Cheng  Zhang and Gregory D. Abowd,,,,Understanding the Cost of Driving Trips,430--434,,5,"driving, mode choice, personal informatics, transportation",10.1145/3025453.3025686,,,,,,,2017,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI '17,,978-1-4503-4655-9,"Denver, Colorado, USA",ACM,"New York, NY, USA"
article,2971656,Daniel A. Epstein and Jennifer H. Kang and Laura R. Pina and James  Fogarty and Sean A. Munson,,,,Reconsidering the Device in the Drawer: Lapses As a Design Opportunity in Personal Informatics,829--840,,12,"abandonment, lapsing, personal informatics, re-engagement",10.1145/2971648.2971656,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing,UbiComp '16,,978-1-4503-4461-6,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,3312886,Kyrill  Potapov and Victor R. Lee and Asimina  Vasalou and Paul  Marshall,,,,Youth Concerns and Responses to Self-Tracking Tools and Personal Informatics Systems,LBW1122:1--LBW1122:6,LBW1122,6,"education, personal informatics, self-tracking, youth",10.1145/3290607.3312886,,,,,,,2019,,Extended Abstracts of the 2019 CHI Conference on Human Factors in Computing Systems,CHI EA '19,,978-1-4503-5971-9,"Glasgow, Scotland Uk",ACM,"New York, NY, USA"
article,2858360,Xiaoyi  Zhang and Laura R. Pina and James  Fogarty,,,,Examining Unlock Journaling with Diaries and Reminders for In Situ Self-Report in Health and Wellness,5658--5664,,7,"experience sampling, personal informatics, self-tracking",10.1145/2858036.2858360,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2641317,Daniel A. Epstein and James  Fogarty and Sean A. Munson,,,,Failures in Sharing Personal Data on Social Networking Sites,695--698,,4,"accidental posts, personal informatics, social networks",10.1145/2638728.2641317,,,,,,,2014,,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct Publication,UbiComp '14 Adjunct,,978-1-4503-3047-3,"Seattle, Washington",ACM,"New York, NY, USA"
article,2807947,Amon  Rapp and Federica  Cena and Judy  Kay and Bob  Kummerfeld and Frank  Hopfgartner and Till  Plumbaum and Jakob Eg Larsen,,,,New Frontiers of Quantified Self: Finding New Ways for Engaging Users in Collecting and Using Personal Data,969--972,,4,"personal informatics, quantified self, self tracking",10.1145/2800835.2807947,,,,,,,2015,,Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers,UbiComp/ISWC'15 Adjunct,,978-1-4503-3575-1,"Osaka, Japan",ACM,"New York, NY, USA"
article,3025804,Aare  Puussaar and Adrian K. Clear and Peter  Wright,,,,Enhancing Personal Informatics Through Social Sensemaking,6936--6942,,7,"data sharing, personal informatics, social sensemaking",10.1145/3025453.3025804,,,,,,,2017,,Proceedings of the 2017 CHI Conference on Human Factors in Computing Systems,CHI '17,,978-1-4503-4655-9,"Denver, Colorado, USA",ACM,"New York, NY, USA"
article,2641322,Emily I. M. Collins and Anna L. Cox and Jon  Bird and Daniel  Harrison,,,,Social Networking Use and RescueTime: The Issue of Engagement,687--690,,4,"personal informatics, social networking, stress, time management",10.1145/2638728.2641322,,,,,,,2014,,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct Publication,UbiComp '14 Adjunct,,978-1-4503-3047-3,"Seattle, Washington",ACM,"New York, NY, USA"
article,2968322,Elizabeth  Murnane and Mark  Matthews and Geri  Gay and Dan  Cosley,,,,Playing with Your Data: Towards Personal Informatics Driven Games,565--569,,5,"games, personal informatics, play, quantified self, toys",10.1145/2968219.2968322,,,,,,,2016,,Proceedings of the 2016 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct,UbiComp '16,,978-1-4503-4462-3,"Heidelberg, Germany",ACM,"New York, NY, USA"
article,3188648,Nora  Ptakauskaite and Anna L. Cox and Nadia  Berthouze,,,,Knowing What You'Re Doing or Knowing What to Do: How Stress Management Apps Support Reflection and Behaviour Change,LBW599:1--LBW599:6,LBW599,6,"behaviour change, data visualisation, personal informatics, stress",10.1145/3170427.3188648,,,,,,,2018,,Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems,CHI EA '18,,978-1-4503-5621-3,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,2641316,Gul  Calikli and Mads Schaarup Andersen and Arosha  Bandara and Blaine  Price and Bashar  Nuseibeh,,,,Personal Informatics for Non-geeks: Lessons Learned from Ordinary People,683--686,,4,"life-logging studies, personal informatics, quantified self",10.1145/2638728.2641316,,,,,,,2014,,Proceedings of the 2014 ACM International Joint Conference on Pervasive and Ubiquitous Computing: Adjunct Publication,UbiComp '14 Adjunct,,978-1-4503-3047-3,"Seattle, Washington",ACM,"New York, NY, USA"
article,3053259,Matthew  Carrasco and Eunyee  Koh and Sana  Malik,,,,popHistory: Animated Visualization of Personal Web Browsing History,2429--2436,,8,"browser history, information visualization, personal informatics, reflection",10.1145/3027063.3053259,,,,,,,2017,,Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems,CHI EA '17,,978-1-4503-4656-6,"Denver, Colorado, USA",ACM,"New York, NY, USA"
article,2702276,Logan  Kendall and Dan  Morris and Desney  Tan,,,,Blood Pressure Beyond the Clinic: Rethinking a Health Metric for Everyone,1679--1688,,10,"blood pressure, personal informatics, self-monitoring",10.1145/2702123.2702276,,,,,,,2015,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,CHI '15,,978-1-4503-3145-6,"Seoul, Republic of Korea",ACM,"New York, NY, USA"
article,1753409,Ian  Li and Anind  Dey and Jodi  Forlizzi,,,,A Stage-based Model of Personal Informatics Systems,557--566,,10,"barriers, collection, model, personal informatics, reflection",10.1145/1753326.1753409,,,,,,,2010,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '10,,978-1-60558-929-9,"Atlanta, Georgia, USA",ACM,"New York, NY, USA"
article,2892406,Amid  Ayobi and Paul  Marshall and Anna L. Cox,,,,Reflections on 5 Years of Personal Informatics: Rising Concerns and Emerging Directions,2774--2781,,8,"activity tracking, lived informatics, personal informatics, quantified self, self-tracking",10.1145/2851581.2892406,,,,,,,2016,,Proceedings of the 2016 CHI Conference Extended Abstracts on Human Factors in Computing Systems,CHI EA '16,,978-1-4503-4082-3,"San Jose, California, USA",ACM,"New York, NY, USA"
article,2468611,Sen H. Hirano and Robert G. Farrell and Catalina M. Danis and Wendy A. Kellogg,,,,WalkMinder: Encouraging an Active Lifestyle Using Mobile Phone Interruptions,1431--1436,,6,"health informatics, personal informatics, persuasive technology, physical activity",10.1145/2468356.2468611,,,,,,,2013,,CHI '13 Extended Abstracts on Human Factors in Computing Systems,CHI EA '13,,978-1-4503-1952-2,"Paris, France",ACM,"New York, NY, USA"
article,2800961,Benedikt  Schmidt and Sebastian  Benchea and R&#252;diger  Eichin and Christian  Meurisch,,,,Fitness Tracker or Digital Personal Coach: How to Personalize Training,1063--1067,,5,"health, personal informatics, personal virtual assistant, pervasive computing",10.1145/2800835.2800961,,,,,,,2015,,Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers,UbiComp/ISWC'15 Adjunct,,978-1-4503-3575-1,"Osaka, Japan",ACM,"New York, NY, USA"
article,3125508,Ada S. Kim,,,,Quantified Self Meets Perceptual Learning: How to Brew a Cup of Tea,887--892,,6,"learning through practice, perceptual learning, personal informatics, quantified self, tea",10.1145/3123024.3125508,,,,,,,2017,,Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers,UbiComp '17,,978-1-4503-5190-4,"Maui, Hawaii",ACM,"New York, NY, USA"
article,2686668,Emily I. M. Collins and Anna L. Cox and Jon  Bird and Cassie  Cornish-Tresstail,,,,Barriers to Engagement with a Personal Informatics Productivity Tool,370--379,,10,"barriers, engagement, personal informatics tools, productivity, social networking, stress",10.1145/2686612.2686668,,,,,,,2014,,Proceedings of the 26th Australian Computer-Human Interaction Conference on Designing Futures: The Future of Design,OzCHI '14,,978-1-4503-0653-9,"Sydney, New South Wales, Australia",ACM,"New York, NY, USA"
article,1754181,Ian  Li and Jodi  Forlizzi and Anind  Dey,,,,Know Thyself: Monitoring and Reflecting on Facets of One's Life,4489--4492,,4,"awareness, behavior, life logging, personal informatics, reflection, study methods, visualizations",10.1145/1753846.1754181,,,,,,,2010,,CHI '10 Extended Abstracts on Human Factors in Computing Systems,CHI EA '10,,978-1-60558-930-5,"Atlanta, Georgia, USA",ACM,"New York, NY, USA"
article,3053138,Shaun  Wallace and Hua  Guo and David  Sasson,,,,Visualizing Self-Tracked Mobile Sensor and Self-Reflection Data to Help Sleep Clinicians Infer Patterns,2194--2200,,7,"design, multivariate time series, ordinal, personal informatics, prototyping, sleep visualization",10.1145/3027063.3053138,,,,,,,2017,,Proceedings of the 2017 CHI Conference Extended Abstracts on Human Factors in Computing Systems,CHI EA '17,,978-1-4503-4656-6,"Denver, Colorado, USA",ACM,"New York, NY, USA"
article,3173025,Amid  Ayobi,,,,Informing the Design of Personal Informatics Technologies for Unpredictable Chronic Conditions,DC02:1--DC02:4,DC02,4,"chronic conditions, multiple sclerosis, personal informatics, self-monitoring, self-tracking",10.1145/3170427.3173025,,,,,,,2018,,Extended Abstracts of the 2018 CHI Conference on Human Factors in Computing Systems,CHI EA '18,,978-1-4503-5621-3,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,3174112,Pooja M. Desai and Matthew E. Levine and David J. Albers and Lena  Mamykina,,,,Pictures Worth a Thousand Words: Reflections on Visualizing Personal Blood Glucose Forecasts for Individuals with Type 2 Diabetes,538:1--538:13,538,13,"diabetes, health and wellness, health communication, personal informatics, visualization",10.1145/3173574.3174112,,,,,,,2018,,Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,CHI '18,,978-1-4503-5620-6,"Montreal QC, Canada",ACM,"New York, NY, USA"
article,2466140,Frank  Bentley and Konrad  Tollmar,,,,The Power of Mobile Notifications to Increase Wellbeing Logging Behavior,1095--1098,,4,"behavior change, logging, mobile, notifications, personal informatics, wellbeing",10.1145/2470654.2466140,,,,,,,2013,,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,CHI '13,,978-1-4503-1899-0,"Paris, France",ACM,"New York, NY, USA"
article,2686623,Deborah  Lupton,,,,Self-tracking Cultures: Towards a Sociology of Personal Informatics,77--86,,10,"culture, personal informatics: sociology, self-tracking, selfhood, theory",10.1145/2686612.2686623,,,,,,,2014,,Proceedings of the 26th Australian Computer-Human Interaction Conference on Designing Futures: The Future of Design,OzCHI '14,,978-1-4503-0653-9,"Sydney, New South Wales, Australia",ACM,"New York, NY, USA"
article,2030166,Ian  Li and Anind K. Dey and Jodi  Forlizzi,,,,"Understanding My Data, Myself: Supporting Self-reflection with Ubicomp Technologies",405--414,,10,"design features, discovery, personal informatics, phases, reflection, visualizations",10.1145/2030112.2030166,,,,,,,2011,,Proceedings of the 13th International Conference on Ubiquitous Computing,UbiComp '11,,978-1-4503-0630-0,"Beijing, China",ACM,"New York, NY, USA"
article,2858066,Daniel A. Epstein and Daniel  Avrahami and Jacob T. Biehl,,,,"Taking 5: Work-Breaks, Productivity, and Opportunities for Personal Informatics for Knowledge Workers",673--684,,12,"knowledge workers, personal informatics, productivity, quantified workplace, visualization, work breaks",10.1145/2858036.2858066,,,,,,,2016,,Proceedings of the 2016 CHI Conference on Human Factors in Computing Systems,CHI '16,,978-1-4503-3362-7,"San Jose, California, USA",ACM,"New York, NY, USA"
