id,URL,author,title,keywords,doi,year,publication_venue
2858397,https://dl.acm.org/citation.cfm?id=2858397,Orit  Shaer and Oded  Nov and Johanna  Okerlund and Martina  Balestra and Elizabeth  Stowell and Lauren  Westendorf and Christina  Pollalis and Jasmine  Davis and Liliana  Westort and Madeleine  Ball,GenomiX: A Novel Interaction Tool for Self-Exploration of Personal Genomic Data,"personal genomics, personal informatics, uncertainty",10.1145/2858036.2858397,2016,CHI '16
2858045,https://dl.acm.org/citation.cfm?id=2858045,Daniel A. Epstein and Monica  Caraway and Chuck  Johnston and An  Ping and James  Fogarty and Sean A. Munson,Beyond Abandonment to Next Steps: Understanding and Designing for Life After Personal Informatics Tool Use,"abandonment, personal informatics, self-tracking",10.1145/2858036.2858045,2016,CHI '16
3173936,https://dl.acm.org/citation.cfm?id=3173936,Rúben  Gouveia and Evangelos  Karapanos and Marc  Hassenzahl,Activity Tracking in Vivo,"personal informatics, physical activity tracking",10.1145/3173574.3173936,2018,CHI '18
2802090,https://dl.acm.org/citation.cfm?id=2802090,Amon  Rapp and Federica  Cena,Affordances for Self-tracking Wearable Devices,"affordances, personal informatics, wearable devices",10.1145/2802083.2802090,2015,ISWC '15
3240973,https://dl.acm.org/citation.cfm?id=3240973,Adele  Parsons and Chia-Fang  Chung and Molly  Donohue and Sean A. Munson and Eric J. Seibel,Opportunities for Oral Health Monitoring Technologies Beyond the Dental Clinic,"Health, Oral Health, Personal Informatics",10.1145/3240925.3240973,2018,PervasiveHealth '18
3173581,https://dl.acm.org/citation.cfm?id=3173581,Andrew  Garbett and David  Chatting and Gerard  Wilkinson and Clement  Lee and Ahmed  Kharrufa,ThinkActive: Designing for Pseudonymous Activity Tracking in the Classroom,"classroom, education, personal informatics, pseudonymous",10.1145/3173574.3173581,2018,CHI '18
2858044,https://dl.acm.org/citation.cfm?id=2858044,Daniel A. Epstein and Felicia  Cordeiro and James  Fogarty and Gary  Hsieh and Sean A. Munson,Crumbs: Lightweight Daily Food Challenges to Promote Engagement and Mindfulness,"daily challenges, food, mindfulness, personal informatics",10.1145/2858036.2858044,2016,CHI '16
2702155,https://dl.acm.org/citation.cfm?id=2702155,Felicia  Cordeiro and Daniel A. Epstein and Edison  Thomaz and Elizabeth  Bales and Arvind K. Jagannathan and Gregory D. Abowd and James  Fogarty,Barriers and Negative Nudges: Exploring Challenges in Food Journaling,"barriers, food journals, negative nudges, personal informatics",10.1145/2702123.2702155,2015,CHI '15
3196738,https://dl.acm.org/citation.cfm?id=3196738,Jessica  Schroeder and Chia-Fang  Chung and Daniel A. Epstein and Ravi  Karkar and Adele  Parsons and Natalia  Murinova and James  Fogarty and Sean A. Munson,"Examining Self-Tracking by People with Migraine: Goals, Needs, and Opportunities in a Chronic Health Condition","chronic condition, health, migraine, personal informatics",10.1145/3196709.3196738,2018,DIS '18
2702276,https://dl.acm.org/citation.cfm?id=2702276,Logan  Kendall and Dan  Morris and Desney  Tan,Blood Pressure Beyond the Clinic: Rethinking a Health Metric for Everyone,"blood pressure, personal informatics, self-monitoring",10.1145/2702123.2702276,2015,CHI '15
1753409,https://dl.acm.org/citation.cfm?id=1753409,Ian  Li and Anind  Dey and Jodi  Forlizzi,A Stage-based Model of Personal Informatics Systems,"barriers, collection, model, personal informatics, reflection",10.1145/1753326.1753409,2010,CHI '10
3130911,https://dl.acm.org/citation.cfm?id=3130911,Nediyana  Daskalova and Karthik  Desingh and Alexandra  Papoutsaki and Diane  Schulze and Han  Sha and Jeff  Huang,Lessons Learned from Two Cohorts of Personal Informatics Self-Experiments,"personal informatics, quantified self, self-tracking",10.1145/3130911,2017,"Proc. ACM Interact. Mob. Wearable Ubiquitous Technol, vol 1, issue 3"
3134671,https://dl.acm.org/citation.cfm?id=3134671,Mayara  Costa Figueiredo and Clara  Caldeira and Tera L. Reynolds and Sean  Victory and Kai  Zheng and Yunan  Chen,Self-Tracking for Fertility Care: Collaborative Support for a Highly Personalized Problem,"fertility care, personal informatics, self-tracking",10.1145/3134671,2017,"Proc. ACM Hum.-Comput. Interact., vol 1, issue CSCW"
2702154,https://dl.acm.org/citation.cfm?id=2702154,Felicia  Cordeiro and Elizabeth  Bales and Erin  Cherry and James  Fogarty,Rethinking the Mobile Food Journal: Exploring Opportunities for Lightweight Photo-Based Capture,"food journals, personal informatics, photos, self-tracking",10.1145/2702123.2702154,2015,CHI '15
2466467,https://dl.acm.org/citation.cfm?id=2466467,Vera  Khovanskaya and Eric P.S. Baumer and Dan  Cosley and Stephen  Voida and Geri  Gay,Everybody Knows What You'Re Doing: A Critical Design Approach to Personal Informatics,"critical design, design strategies, personal informatics",10.1145/2470654.2466467,2013,CHI '13
2481345,https://dl.acm.org/citation.cfm?id=2481345,Shaun  Lawson and Sue  Jamison-Powell and Andrew  Garbett and Conor  Linehan and Erica  Kucharczyk and Sanne  Verbaan and Duncan A. Rowland and Kevin  Morgan,"Validating a Mobile Phone Application for the Everyday, Unobtrusive, Objective Measurement of Sleep","insomnia, mobile computing, personal informatics, sleep",10.1145/2470654.2481345,2013,CHI '13
2384996,https://dl.acm.org/citation.cfm?id=2384996,Jasmine  Jones and Steven  Hall and Mieke  Gentis and Carrie  Reynolds and Chitra  Gadwal and Amy  Hurst and Judah  Ronch and Callie  Neylan,Visualizations for Self-reflection on Mouse Pointer Performance for Older Adults,"older adults, personal informatics, pointing, reflection",10.1145/2384916.2384996,2012,ASSETS '12
2541070,https://dl.acm.org/citation.cfm?id=2541070,Rafael A. Calvo and Dorian  Peters,The Irony and Re-interpretation of Our Quantified Self,"life logging, personal informatics, quantified self",10.1145/2541016.2541070,2013,OzCHI '13
3124456,https://dl.acm.org/citation.cfm?id=3124456,Amon  Rapp and Federica  Cena and Judy  Kay and Bob  Kummerfeld and Frank  Hopfgartner and Till  Plumbaum and Jakob Eg Larsen and Daniel A. Epstein and Rúben  Gouveia,New Frontiers of Quantified Self 3: Exploring Understudied Categories of Users,"personal informatics, quantified self, self-tracking",10.1145/3123024.3124456,2017,UbiComp '17
2858360,https://dl.acm.org/citation.cfm?id=2858360,Xiaoyi  Zhang and Laura R. Pina and James  Fogarty,Examining Unlock Journaling with Diaries and Reminders for In Situ Self-Report in Health and Wellness,"experience sampling, personal informatics, self-tracking",10.1145/2858036.2858360,2016,CHI '16
2971656,https://dl.acm.org/citation.cfm?id=2971656,Daniel A. Epstein and Jennifer H. Kang and Laura R. Pina and James  Fogarty and Sean A. Munson,Reconsidering the Device in the Drawer: Lapses As a Design Opportunity in Personal Informatics,"abandonment, lapsing, personal informatics, re-engagement",10.1145/2971648.2971656,2016,UbiComp '16
3025686,https://dl.acm.org/citation.cfm?id=3025686,Caleb  Southern and Yunnuo  Cheng and Cheng  Zhang and Gregory D. Abowd,Understanding the Cost of Driving Trips,"driving, mode choice, personal informatics, transportation",10.1145/3025453.3025686,2017,CHI '17
3025804,https://dl.acm.org/citation.cfm?id=3025804,Aare  Puussaar and Adrian K. Clear and Peter  Wright,Enhancing Personal Informatics Through Social Sensemaking,"data sharing, personal informatics, social sensemaking",10.1145/3025453.3025804,2017,CHI '17
3173701,https://dl.acm.org/citation.cfm?id=3173701,Yuhan  Luo and Bongshin  Lee and Donghee Yvette  Wohn and Amanda L. Rebar and David E. Conroy and Eun Kyoung  Choe,Time for Break: Understanding Information Workers' Sedentary Behavior Through a Break Prompting System,"break, information workers, personal informatics, sedentary behavior, workplace setting",10.1145/3173574.3173701,2018,CHI '18
2971542,https://dl.acm.org/citation.cfm?id=2971542,Adrian  Bussone and Simone  Stumpf and George  Buchanan,It Feels Like I'm Managing Myself: HIV+ People Tracking Their Personal Health Information,"HIV, Personal health informatics, model, personal informatics, self-management",10.1145/2971485.2971542,2016,NordiCHI '16
3125508,https://dl.acm.org/citation.cfm?id=3125508,Ada S. Kim,Quantified Self Meets Perceptual Learning: How to Brew a Cup of Tea,"learning through practice, perceptual learning, personal informatics, quantified self, tea",10.1145/3123024.3125508,2017,UbiComp '17
2686668,https://dl.acm.org/citation.cfm?id=2686668,Emily I. M. Collins and Anna L. Cox and Jon  Bird and Cassie  Cornish-Tresstail,Barriers to Engagement with a Personal Informatics Productivity Tool,"barriers, engagement, personal informatics tools, productivity, social networking, stress",10.1145/2686612.2686668,2014,OzCHI '14
3174112,https://dl.acm.org/citation.cfm?id=3174112,Pooja M. Desai and Matthew E. Levine and David J. Albers and Lena  Mamykina,Pictures Worth a Thousand Words: Reflections on Visualizing Personal Blood Glucose Forecasts for Individuals with Type 2 Diabetes,"diabetes, health and wellness, health communication, personal informatics, visualization",10.1145/3173574.3174112,2018,CHI '18
2634259,https://dl.acm.org/citation.cfm?id=2634259,Anna L. Cox and Jon  Bird and Natasha  Mauthner and Susan  Dray and Anicia  Peters and Emily  Collins,Socio-technical Practices and Work-home Boundaries,"hci, leisure, personal informatics, wellbeing, work, work home boundary management",10.1145/2628363.2634259,2014,MobileHCI '14
1971673,https://dl.acm.org/citation.cfm?id=1971673,Norbert  Gy?rbíró and Henry  Larkin and Michael  Cohen,Spaced Repetition Tool for Improving Long-term Memory Retention and Recall of Collected Personal Experiences,"experience design, memory cue, personal informatics, positive psychology, spaced repetition",10.1145/1971630.1971673,2010,ACE '10
2493433,https://dl.acm.org/citation.cfm?id=2493433,Daniel A. Epstein and Alan  Borning and James  Fogarty,Fine-grained Sharing of Sensed Physical Activity: A Value Sensitive Approach,"personal informatics, physical activity sensing, social sharing, value sensitive design",10.1145/2493432.2493433,2013,UbiComp '13
3001920,https://dl.acm.org/citation.cfm?id=3001920,Ntwa  Katule and Ulrike  Rivett and Melissa  Densmore,A Family Health App: Engaging Children to Manage Wellness of Adults,"HCI4D, ICTD, gamification, health, intermediaries, personal informatics, persuasive technologies",10.1145/3001913.3001920,2016,ACM DEV '16
2957293,https://dl.acm.org/citation.cfm?id=2957293,Lisa  Graham and Anthony  Tang and Carman  Neustaedter,Help Me Help You: Shared Reflection for Personal Data,"personal data analytics, personal informatics, reflection, shared reflection",10.1145/2957276.2957293,2016,GROUP '16
2901803,https://dl.acm.org/citation.cfm?id=2901803,Rebecca  Gulotta and Jodi  Forlizzi and Rayoung  Yang and Mark Wah Newman,Fostering Engagement with Personal Informatics Systems,"activity trackers, fitness, health, personal informatics, personalization, reflection, self-tracking",10.1145/2901790.2901803,2016,DIS '16
3025516,https://dl.acm.org/citation.cfm?id=3025516,Petr  Slovák and Christopher  Frauenberger and Geraldine  Fitzpatrick,Reflective Practicum: A Framework of Sensitising Concepts to Design for Transformative Reflection,"personal informatics, reflection, reflective informatics, sel, social-emotional skills",10.1145/3025453.3025516,2017,CHI '17
3174146,https://dl.acm.org/citation.cfm?id=3174146,Kwangyoung  Lee and Hwajung  Hong,MindNavigator: Exploring the Stress and Self-Interventions for Mental Wellness,"lived informatics, mental wellness, personal informatics, self-tracking, stress management",10.1145/3173574.3174146,2018,CHI '18
2702284,https://dl.acm.org/citation.cfm?id=2702284,Eva  Ganglbauer and Geraldine  Fitzpatrick and Florian Güldenpfennig;ldenpfennig,Why and What Did We Throw out?: Probing on Reflection Through the Food Waste Diary,"food and interaction design, food waste, personal informatics, reflection, sustainability",10.1145/2702123.2702284,2015,CHI '15
2971754,https://dl.acm.org/citation.cfm?id=2971754,Rúben  Gouveia and Fábio  Pereira and Evangelos  Karapanos and Sean A. Munson and Marc  Hassenzahl,Exploring the Design Space of Glanceable Feedback for Physical Activity Trackers,"behavioral feedback interfaces, glanceable displays, personal informatics, physical activity tracking",10.1145/2971648.2971754,2016,UbiComp '16
3154897,https://dl.acm.org/citation.cfm?id=3154897,Zilu  Liang and Bernd  Ploderer and Mario Alberto Chapa-Martell,Is Fitbit Fit for Sleep-tracking?: Sources of Measurement Errors and Proposed Countermeasures,"HCI, data quality, fitbit, health, personal informatics, sleep, wearable",10.1145/3154862.3154897,2017,PervasiveHealth '17
3277824,https://dl.acm.org/citation.cfm?id=3277824,Nediyana  Daskalova,Personalized Behavior-Powered Systems for Guiding Self-Experiments,"Self-experiments, personal informatics, self-tracking, sleep recommendations",10.1145/3267305.3277824,2018,UbiComp '18
3173871,https://dl.acm.org/citation.cfm?id=3173871,Janne  van Kollenburg and Sander  Bogers and Heleen  Rutjes and Eva  Deckers and Joep  Frens and Caroline  Hummels,Exploring the Value of Parent Tracked Baby Data in Interactions with Healthcare Professionals: A Data-Enabled Design Exploration,"data-enabled design, healthcare, personal informatics, situated explorations",10.1145/3173574.3173871,2018,CHI '18
3173654,https://dl.acm.org/citation.cfm?id=3173654,Amon  Rapp,Gamification for Self-Tracking: From World of Warcraft to the Design of Personal Informatics Systems,"gamification, personal informatics, quantified self, self-tracking, world of warcraft",10.1145/3173574.3173654,2018,CHI '18
3156158,https://dl.acm.org/citation.cfm?id=3156158,Ross  Brown and Bernd  Ploderer and Leonard Si Da Seng and Peter  Lazzarini and Jaap  van Netten,MyFootCare: A Mobile Self-tracking Tool to Promote Self-care Amongst People with Diabetic Foot Ulcers,"diabetic foot ulcer, mobile devices, personal informatics, self-monitoring",10.1145/3152771.3156158,2017,OZCHI '17
2804288,https://dl.acm.org/citation.cfm?id=2804288,Amanda  Lazar and Christian  Koehler and Joshua  Tanenbaum and David H. Nguyen,Why We Use and Abandon Smart Devices,"personal informatics systems, self tracking, smart devices, wearable devices",10.1145/2750858.2804288,2015,UbiComp '15
2858145,https://dl.acm.org/citation.cfm?id=2858145,Yoojung  Kim and Sookyoung  Ji and Hyunjeong  Lee and Jeong-Whun  Kim and Sooyoung  Yoo and Joongseek  Lee,My Doctor is Keeping an Eye on Me!: Exploring the Clinical Applicability of a Mobile Food Logger,"clinical context, food journaling, lifestyle disease, personal informatics, self-tracking",10.1145/2858036.2858145,2016,CHI '16
3131892,https://dl.acm.org/citation.cfm?id=3131892,Hayeon  Jeong and Heepyung  Kim and Rihun  Kim and Uichin  Lee and Yong  Jeong,Smartwatch Wearing Behavior Analysis: A Longitudinal Study,"Activity Tracker, Personal Informatics, Smartwatch, User Experience, Wearable Device",10.1145/3131892,2017,"Proc. ACM Interact. Mob. Wearable Ubiquitous Technol, vol 1, issue 3"
2466140,https://dl.acm.org/citation.cfm?id=2466140,Frank  Bentley and Konrad  Tollmar,The Power of Mobile Notifications to Increase Wellbeing Logging Behavior,"behavior change, logging, mobile, notifications, personal informatics, wellbeing",10.1145/2470654.2466140,2013,CHI '13
2858066,https://dl.acm.org/citation.cfm?id=2858066,Daniel A. Epstein and Daniel  Avrahami and Jacob T. Biehl,"Taking 5: Work-Breaks, Productivity, and Opportunities for Personal Informatics for Knowledge Workers","knowledge workers, personal informatics, productivity, quantified workplace, visualization, work breaks",10.1145/2858036.2858066,2016,CHI '16
2686623,https://dl.acm.org/citation.cfm?id=2686623,Deborah  Lupton,Self-tracking Cultures: Towards a Sociology of Personal Informatics,"culture, personal informatics: sociology, self-tracking, selfhood, theory",10.1145/2686612.2686623,2014,OzCHI '14
2030166,https://dl.acm.org/citation.cfm?id=2030166,Ian  Li and Anind K. Dey and Jodi  Forlizzi,"Understanding My Data, Myself: Supporting Self-reflection with Ubicomp Technologies","design features, discovery, personal informatics, phases, reflection, visualizations",10.1145/2030112.2030166,2011,UbiComp '11
3016743,https://dl.acm.org/citation.cfm?id=3016743,Zilu  Liang and Bernd  Ploderer and Wanyu  Liu and Yukiko  Nagata and James  Bailey and Lars  Kulik and Yuxuan  Li,SleepExplorer: A Visualization Tool to Make Sense of Correlations Between Personal Sleep Data and Contextual Factors,"HCI, Health, Personal informatics, Self-tracking, Sense-making, Sleep",10.1007/s00779-016-0960-6,2016,"Personal Ubiquitous Comput, vol 20, issue 6"
2804290,https://dl.acm.org/citation.cfm?id=2804290,Rúben  Gouveia and Evangelos  Karapanos and Marc  Hassenzahl,How Do We Engage with Activity Trackers?: A Longitudinal Study of Habito,"behavior change technologies, personal informatics, persuasive technologies, physical activity trackers",10.1145/2750858.2804290,2015,UbiComp '15
3274309,https://dl.acm.org/citation.cfm?id=3274309,Mayara  Costa Figueiredo and Clara  Caldeira and Elizabeth Victoria Eikey and Melissa  Mazmanian and Yunan  Chen,Engaging with Health Data: The Interplay Between Self-Tracking Activities and Emotions in Fertility Struggles,"fertility care, personal informatics health data, self-tracking",10.1145/3274309,2018,"Proc. ACM Hum.-Comput. Interact, vol 20, issue CSCW"
2557299,https://dl.acm.org/citation.cfm?id=2557299,Matthew  Mauriello and Michael  Gubbels and Jon E. Froehlich,Social Fabric Fitness: The Design and Evaluation of Wearable E-textile Displays to Support Group Running,"fitness, glanceable displays, personal informatics, quantified self, visualization, wearables",10.1145/2556288.2557299,2014,CHI '14
2984534,https://dl.acm.org/citation.cfm?id=2984534,Nediyana  Daskalova and Danaë Metaxa-Kakavouli and Adrienne  Tran and Nicole  Nugent and Julie  Boergers and John  McGeary and Jeff  Huang,SleepCoacher: A Personalized Automated Self-Experimentation System for Sleep Recommendations,"mobile devices, personal informatics, self-experiments, sleep monitoring, sleep recommendations",10.1145/2984511.2984534,2016,UIST '16
2534557,https://dl.acm.org/citation.cfm?id=2534557,Matthew  Kay and Kyle  Rector and Sunny  Consolvo and Ben  Greenstein and Jacob O. Wobbrock and Nathaniel F. Watson and Julie A. Kientz,PVT-touch: Adapting a Reaction Time Test for Touchscreen Devices,"PVT, health, health assessment, personal informatics, psychomotor vigilance task, reaction time, sleep, touchscreen",10.4108/icst.pervasivehealth.2013.252078,2013,PervasiveHealth '13
2675191,https://dl.acm.org/citation.cfm?id=2675191,Jaime  Snyder and Mark  Matthews and Jacqueline  Chien and Pamara F. Chang and Emily  Sun and Saeed  Abdullah and Geri  Gay,MoodLight: Exploring Personal and Social Implications of Ambient Display of Biosensor Data,"ambient display, biofeedback, color, light, personal informatics, self-discovery, stress management",10.1145/2675133.2675191,2015,CSCW '15
2557144,https://dl.acm.org/citation.cfm?id=2557144,Rohit Ashok Khot and Larissa  Hjorth and Florian 'Floyd' Mueller,Understanding Physical Activity Through 3D Printed Material Artifacts,"3d printing, digital fabrication, entertainment, personal informatics, physical exercise, quantifiable self",10.1145/2556288.2557144,2014,CHI '14
3267314,https://dl.acm.org/citation.cfm?id=3267314,Ravi  Karkar,Designing for Diagnostic Self-Tracking,"Personal informatics, cirrhosis, critical flicker frequency, hepatic encephalopathy, irritable bowel syndrome, self-experimentation, self-tracking",10.1145/3267305.3267314,2018,UbiComp '18
3240974,https://dl.acm.org/citation.cfm?id=3240974,Bert  Vandenberghe and Jasper  Vanhoof and Roos  Voorend and David  Geerts and Fabienne  Dobbels,The 'Self' As Barrier for Self-Management Technologies in Healthcare?,"Chronic health conditions, healthcare, patients, personal informatics, quantified self, self-management, user experience",10.1145/3240925.3240974,2018,PervasiveHealth '18
3025557,https://dl.acm.org/citation.cfm?id=3025557,Ruth  Ravichandran and Sang-Wha  Sien and Shwetak N. Patel and Julie A. Kientz and Laura R. Pina,Making Sense of Sleep Sensors: How Sleep Sensing Technologies Support and Undermine Sleep Health,"behavior change, health monitoring, personal informatics, quantified self, sleep, sleep sensing, sleep tracking",10.1145/3025453.3025557,2017,CHI '17
3300391,https://dl.acm.org/citation.cfm?id=3300391,Hanna  Schneider and Julia  Wayrauther and Mariam  Hassib and Andreas  Butz,Communicating Uncertainty in Fertility Prognosis,"fertility tracking applications, menstrual cycle, personal informatics, uncertainty visualization, women's health",10.1145/3290605.3300391,2019,CHI '19
2838742,https://dl.acm.org/citation.cfm?id=2838742,Wanyu  Liu and Bernd  Ploderer and Thuong  Hoang,In Bed with Technology: Challenges and Opportunities for Sleep Tracking,"Sleep, design, health, personal informatics, persuasive technology, qualitative study, self-tracking, wellbeing",10.1145/2838739.2838742,2015,OzCHI '15
3264938,https://dl.acm.org/citation.cfm?id=3264938,Jimmy  Moore and Pascal  Goffin and Miriah  Meyer and Philip  Lundrigan and Neal  Patwari and Katherine  Sward and Jason  Wiese,"Managing In-home Environments Through Sensing, Annotating, and Visualizing Air Quality Data","Air quality, annotation, thematic analysis, in-home sensing, longitudinal deployment, personal informatics, user engagement",10.1145/3264938,2018,"Proc. ACM Interact. Mob. Wearable Ubiquitous Technol, vol 2, issue 3"
3194663,https://dl.acm.org/citation.cfm?id=3194663,Palakorn  Achananuparp and Ee-Peng  Lim and Vibhanshu  Abhishek,Does Journaling Encourage Healthier Choices?: Analyzing Healthy Eating Behaviors of Food Journalers,"eating behaviors, food, food diaries, food journals, health, myfitnesspal, personal informatics, quantified self",10.1145/3194658.3194663,2018,DH '18
3064676,https://dl.acm.org/citation.cfm?id=3064676,Saeyoung  Rho and Injung  Lee and Hankyung  Kim and Jonghyuk  Jung and Hyungi  Kim and Bong Gwan  Jun and Youn-kyung  Lim,FutureSelf: What Happens When We Forecast Self-Trackers? Future Health Statuses?,"activity tracker, consequence information, design, health, personal informatics, self-tracking, user experience",10.1145/3064663.3064676,2017,DIS '17
2826189,https://dl.acm.org/citation.cfm?id=2826189,Sergio  Felipe and Aneesha  Singh and Caroline  Bradley and Amanda CdeC Williams and Nadia  Bianchi-Berthouze,Roles for Personal Informatics in Chronic Pain,"chronic pain, emotional wellbeing, personal informatics, physiological sensing, quantified-self, self-management, wearables",,2015,PervasiveHealth '15
3196829,https://dl.acm.org/citation.cfm?id=3196829,Amon  Rapp and Lia  Tirabeni,"Personal Informatics for Sport: Meaning, Body, and Social Relations in Amateur and Elite Athletes","Personal Informatics, Quantified Self, amateur athletes, elite athletes, information visualization, self-tracking, sport, wearable devices",10.1145/3196829,2018,"ACM Trans. Comput.-Hum. Interact, vol 25, issue 3"
2804250,https://dl.acm.org/citation.cfm?id=2804250,Daniel A. Epstein and An  Ping and James  Fogarty and Sean A. Munson,A Lived Informatics Model of Personal Informatics,"finances, lapsing, lived informatics, location, personal informatics, physical activity, self-tracking",10.1145/2750858.2804250,2015,UbiComp '15
3025480,https://dl.acm.org/citation.cfm?id=3025480,Ravi  Karkar and Jessica  Schroeder and Daniel A. Epstein and Laura R. Pina and Jeffrey  Scofield and James  Fogarty and Julie A. Kientz and Sean A. Munson and Roger  Vilardaga and Jasmine  Zia,TummyTrials: A Feasibility Study of Using Self-Experimentation to Detect Individualized Food Triggers,"food, irritable bowel syndrome, personal informatics, self-experimentation, self-tracking, symptom triggers",10.1145/3025453.3025480,2017,CHI '17
3154880,https://dl.acm.org/citation.cfm?id=3154880,Sonali R. Mishra and Predrag  Klasnja,Move into Another World of Happy: Insights for Designing Affect-based Physical Activity Interventions,"affective computing, behavior change, consumer health, fitness, personal informatics, physical activity",10.1145/3154862.3154880,2017,PervasiveHealth '17
2702384,https://dl.acm.org/citation.cfm?id=2702384,Misha  Patel and Aisling Ann  O'Kane,Contextual Influences on the Use and Non-Use of Digital Technology While Exercising at the Gym,"activity tracker, context, exercise, fitness, gym, health, in the wild, personal informatics, situated studies, wearables",10.1145/2702123.2702384,2015,CHI '15
3123197,https://dl.acm.org/citation.cfm?id=3123197,Chia-Fang  Chung,Supporting Patient-provider Communication and Engagement with Personal Informatics Data,"chronic disease management, health, patient-provider communication, personal informatics, self-tracking, wellness",10.1145/3123024.3123197,2017,UbiComp '17
3264924,https://dl.acm.org/citation.cfm?id=3264924,Victoria  Hollis and Alon  Pekurovsky and Eunika  Wu and Steve  Whittaker,On Being Told How We Feel: How Algorithmic Sensor Feedback Influences Emotion Perception,"Affective Computing, Algorithms, Anxiety, Deference, Emotion, Emotion Regulation, Feedback, Framing, Health, Personal Informatics, Stress, Trust",10.1145/3264924,2018,"Proc. ACM Interact. Mob. Wearable Ubiquitous Technol, vol 2, issue 3"
3300337,https://dl.acm.org/citation.cfm?id=3300337,Sonali R. Mishra and Predrag  Klasnja and John  MacDuffie Woodburn and Eric B. Hekler and Larsson  Omberg and Michael  Kellen and Lara  Mangravite,Supporting Coping with Parkinson's Disease Through Self Tracking,"coping with chronic disease, health informatics, parkinson's disease, personal informatics, quality of life, symptom tracking",10.1145/3290605.3300337,2019,CHI '19
2702197,https://dl.acm.org/citation.cfm?id=2702197,Rohit Ashok  Khot and Jeewon  Lee and Deepti  Aggarwal and Larissa  Hjorth and Florian 'Floyd' Mueller,TastyBeats: Designing Palatable Representations of Physical Activity,"fluidic interfaces, human-food interaction (hfi), palatable representation, personal informatics, physical activity, quantified self",10.1145/2702123.2702197,2015,CHI '15
3174224,https://dl.acm.org/citation.cfm?id=3174224,Sonali R. Mishra and Andrew D. Miller and Shefali  Haldar and Maher  Khelifi and Jordan  Eschler and Rashmi G. Elera and Ari H. Pollack and Wanda  Pratt,Supporting Collaborative Health Tracking in the Hospital: Patients' Perspectives,"health informatics, hospital, patient engagement, patient safety, patient-clinician collaboration, personal informatics, self-tracking",10.1145/3173574.3174224,2018,CHI '18
3309528,https://dl.acm.org/citation.cfm?id=3309528,Stephen  MacNeil and Kyle  Kiefer and Brian  Thompson and Dev  Takle and Celine  Latulipe,IneqDetect: A Visual Analytics System to Detect Conversational Inequality and Support Reflection During Active Learning,"active learning, collaboration, group dynamics, personal informatics, reflection, reflective learning, smart classroom",10.1145/3300115.3309528,2019,CompEd '19
2826188,https://dl.acm.org/citation.cfm?id=2826188,Bert  Vandenberghe and David  Geerts,Sleep Monitoring Tools at Home and in the Hospital: Bridging Quantified Self and Clinical Sleep Research,"design, health care, personal informatics, quantified self, sleep center, sleep monitoring",,2015,PervasiveHealth '15
2598558,https://dl.acm.org/citation.cfm?id=2598558,Daniel  Epstein and Felicia  Cordeiro and Elizabeth  Bales and James  Fogarty and Sean  Munson,Taming Data Complexity in Lifelogs: Exploring Visual Cuts of Personal Informatics Data,"lifelogs, personal informatics, physical activity sensing, reflection, routines, self-monitoring, self-tracking",10.1145/2598510.2598558,2014,DIS '14
2805832,https://dl.acm.org/citation.cfm?id=2805832,Daniel  Harrison and Paul  Marshall and Nadia  Bianchi-Berthouze and Jon  Bird,"Activity Tracking: Barriers, Workarounds and Customisation","activity tracking, behaviour change, fitness, health, personal informatics, physical activity, quantified self",10.1145/2750858.2805832,2015,UbiComp '15
3010988,https://dl.acm.org/citation.cfm?id=3010988,Zilu  Liang and Bernd  Ploderer,Sleep Tracking in the Real World: A Qualitative Study into Barriers for Improving Sleep,"behaviour change, health, personal informatics, self-awareness, self-monitoring, self-tracking, sleep",10.1145/3010915.3010988,2016,OzCHI '16
2998362,https://dl.acm.org/citation.cfm?id=2998362,Laura R. Pina and Sang-Wha  Sien and Teresa  Ward and Jason C. Yip and Sean A. Munson and James  Fogarty and Julie A. Kientz,From Personal Informatics to Family Informatics: Understanding Family Practices Around Health Monitoring,"children., families, family informatics, health, personal informatics, self-monitoring, self-tracking",10.1145/2998181.2998362,2017,CSCW '17
2858428,https://dl.acm.org/citation.cfm?id=2858428,Young-Ho  Kim and Jae Ho  Jeon and Eun Kyoung  Choe and Bongshin  Lee and KwonHyun  Kim and Jinwook  Seo,TimeAware: Leveraging Framing Effects to Enhance Personal Productivity,"data engagement, framing effects, personal informatics, productivity tracking, self-monitoring, self-tracking, semi-automated journaling",10.1145/2858036.2858428,2016,CHI '16
3300845,https://dl.acm.org/citation.cfm?id=3300845,Young-Ho  Kim and Eun Kyoung  Choe and Bongshin  Lee and Jinwook  Seo,"Understanding Personal Productivity: How Knowledge Workers Define, Evaluate, and Reflect on Their Productivity","diary study, knowledge worker, personal informatics, productivity, productivity tracking, self-monitoring, self-tracking",10.1145/3290605.3300845,2019,CHI '19
3274383,https://dl.acm.org/citation.cfm?id=3274383,Kai  Lukoff and Taoxi  Li and Yuan  Zhuang and Brian Y. Lim,TableChat: Mobile Food Journaling to Facilitate Family Support for Healthy Eating,"chat, family informatics, food journaling, mhealth, online health communities, personal informatics, social support, tracking",10.1145/3274383,2018,"Proc. ACM Hum.-Comput. Interact, vol 2, issue CSCW"
